similitud,pieza_1,no_parte_1,pieza_2,no_parte_2,razon_no_fusion
96.8,REDUCCION BUSHING MACHO NPT * HEMBRA NPT 1 1/2*1/2,AIRE-RED-135,REDUCCION BUSHING MACHO NPT * HEMBRA NPT 11/2 *1,AIRE-RED-137,Medidas/modelos diferentes
96.8,"TEE HEMBRA ACERO NEGRO DE 1 1/2""",TEE HE-158,"TEE HEMBRA ACERO NEGRO DE 2 1/2""",TEE HE-156,Medidas/modelos diferentes
96.8,"TEE HEMBRA GALVANIZADA DE 1 1/2""",TEE HE-166,"TEE HEMBRA GALVANIZADA DE 2 1/2 """,TEE HE-164,Medidas/modelos diferentes
96.8,"TEE SOLDABLE NEGRA CED 30 DE 1""",TEE SO-055,"TEE SOLDABLE NEGRA CED 30 DE 1/2""",TEE SO-056,Medidas/modelos diferentes
96.8,"TEE SOLDABLE NEGRA CED 30 DE 1/2""",TEE SO-056,"TEE SOLDABLE NEGRA CED 30 DE 2 """,TEE SO-053,Medidas/modelos diferentes
96.8,"TEE SOLDABLE NEGRA CED 30 DE 3/4""",TEE SO-057,"TEE SOLDABLE NEGRA CED 30 DE 4""",TEE SO-051,Medidas/modelos diferentes
96.8,"TEE SOLDABLE NEGRA CED 40 DE 1""",TEE SO-048,"TEE SOLDABLE NEGRA CED 40 DE 1/2""",TEE SO-050,Medidas/modelos diferentes
96.8,"TEE SOLDABLE NEGRA CED 40 DE 1/2""",TEE SO-050,"TEE SOLDABLE NEGRA CED 40 DE 2""",TEE SO-046,Medidas/modelos diferentes
96.8,"TEE SOLDABLE NEGRA CED 40 DE 3""",TEE SO-045,"TEE SOLDABLE NEGRA CED 40 DE 3/4""",TEE SO-049,Medidas/modelos diferentes
96.8,"TEE SOLDABLE NEGRA CED 40 DE 3/4""",TEE SO-049,"TEE SOLDABLE NEGRA CED 40 DE 4""",TEE SO-044,Medidas/modelos diferentes
96.8,TORNILLO 1/2* 1/2 GRADO 8 NEGRO,TORNI-089,TORNILLO 1/2* 2 1/2 GRADO 8 NEGRO,TORNI-091,Medidas/modelos diferentes
96.8,TORNILLO 1/2* 1/2 GRADO 8 NEGRO,TORNI-089,TORNILLO 1/2* 3 1/2 GRADO 8 NEGRO,TORNI-092,Medidas/modelos diferentes
96.8,TORNILLO 1/2*2 1/2NEGRO GRADO 5,TORNI-049,TORNILLO 1/2*3 1/2NEGRO GRADO 5,TORNI-051,Medidas/modelos diferentes
96.8,TORNILLO DE 3/8*1 NEGRO GRADO 5,TORNI-030,TORNILLO DE 3/8*3 NEGRO GRADO 5,TORNI-034,Medidas/modelos diferentes
96.8,TORNILLO DE 3/8*1 NEGRO GRADO 5,TORNI-030,TORNILLO DE 3/8*4 NEGRO GRADO 5,TORNI-036,Medidas/modelos diferentes
96.8,TORNILLO DE 3/8*3 NEGRO GRADO 5,TORNI-034,TORNILLO DE 3/8*4 NEGRO GRADO 5,TORNI-036,Medidas/modelos diferentes
96.8,TORNILLERIA 7/8*2 NEGRO GRADO 5,TORNI-084,TORNILLERIA 7/8*5 NEGRO GRADO 5,TORNI-083,Medidas/modelos diferentes
96.7,"CODO ROSCADO ACERO NEGRO 45° * 1""",CODO -069,CODO ROSCADO ACERO NEGRO 45° * 1/2,CODO -071,Medidas/modelos diferentes
96.7,CODO ROSCADO ACERO NEGRO 45° * 1/2,CODO -071,"CODO ROSCADO ACERO NEGRO 45° * 2""",CODO -067,Medidas/modelos diferentes
96.7,"CODO ROSCADO ACERO NEGRO 45° * 3""",CODO -066,"CODO ROSCADO ACERO NEGRO 45° * 3/4""",CODO -070,Medidas/modelos diferentes
96.7,"CODO ROSCADO ACERO NEGRO 45° * 3/4""",CODO -070,"CODO ROSCADO ACERO NEGRO 45° * 4""",CODO -065,Medidas/modelos diferentes
96.7,"CODO ROSCADO ACERO NEGRO 90° * 1""",CODO R-062,"CODO ROSCADO ACERO NEGRO 90° * 1/2""",CODO R-064,Medidas/modelos diferentes
96.7,"CODO ROSCADO ACERO NEGRO 90° * 1/2""",CODO R-064,"CODO ROSCADO ACERO NEGRO 90° * 2""",CODO R-060,Medidas/modelos diferentes
96.7,CODO ROSCADO ACERO NEGRO 90° * 3,CODO R-059,"CODO ROSCADO ACERO NEGRO 90° *3/4""",CODO R-063,Medidas/modelos diferentes
96.7,"CODO ROSCADO ACERO NEGRO 90° *3/4""",CODO R-063,"CODO ROSCADO ACERO NEGRO 90° * 4""",CODO R-058,Medidas/modelos diferentes
96.7,CODO ROSCADO GALVANIZADO 45° * 1,CODO R-083,CODO ROSCADO GALVANIZADO 45° * 1/2,CODO R-084,Medidas/modelos diferentes
96.7,CODO ROSCADO GALVANIZADO 45° * 1/2,CODO R-084,CODO ROSCADO GALVANIZADO 45° * 2,CODO R-081,Medidas/modelos diferentes
96.7,CODO ROSCADO GALVANIZADO 45° * 3,CODO R-080,CODO ROSCADO GALVANIZADO 45° * 3/4,CODO R-085,Medidas/modelos diferentes
96.7,CODO ROSCADO GALVANIZADO 45° * 3/4,CODO R-085,CODO ROSCADO GALVANIZADO 45° * 4,CODO R-079,Medidas/modelos diferentes
96.7,"CODO ROSCADO GALVANIZADO 90° * 1""",CODO R-076,"CODO ROSCADO GALVANIZADO 90° * 1/2""",CODO R-078,Medidas/modelos diferentes
96.7,"CODO ROSCADO GALVANIZADO 90° * 1/2""",CODO R-078,"CODO ROSCADO GALVANIZADO 90° * 2""",CODO R-074,Medidas/modelos diferentes
96.7,CODO ROSCADO GALVANIZADO 90° *3,CODO R-073,"CODO ROSCADO GALVANIZADO 90° * 3/4""",CODO R-077,Medidas/modelos diferentes
96.7,"CODO ROSCADO GALVANIZADO 90° * 3/4""",CODO R-077,CODO ROSCADO GALVANIZADO 90° * 4,CODO R-072,Medidas/modelos diferentes
96.7,COPLE ACERO AL CARBON DE 1 1/2,COPLE -147,COPLE ACERO AL CARBON DE 2 1/2,COPLE -145,Medidas/modelos diferentes
96.7,NIPLE ACERO AL CARBON DE 1/2 *10,NIPLE -137,"NIPLE ACERO AL CARBON DE 1"" * 10",NIPLE -125,Medidas/modelos diferentes
96.7,NIPLE ACERO AL CARBON DE 1/2 *10,NIPLE -137,NIPLE ACERO AL CARBON DE 2 * 10,NIPLE -111,Medidas/modelos diferentes
96.7,NIPLE ACERO AL CARBON DE 1/2 * 4,NIPLE -141,NIPLE ACERO AL CARBON DE 1/2 * 5,NIPLE -140,Medidas/modelos diferentes
96.7,NIPLE ACERO AL CARBON DE 1/2 * 4,NIPLE -141,NIPLE ACERO AL CARBON DE 1/2 * 6,NIPLE -139,Medidas/modelos diferentes
96.7,NIPLE ACERO AL CARBON DE 1/2 * 4,NIPLE -141,NIPLE ACERO AL CARBON DE 1/2 * 8,NIPLE -138,Medidas/modelos diferentes
96.7,NIPLE ACERO AL CARBON DE 1/2 * 5,NIPLE -140,NIPLE ACERO AL CARBON DE 1/2 * 6,NIPLE -139,Medidas/modelos diferentes
96.7,NIPLE ACERO AL CARBON DE 1/2 * 5,NIPLE -140,NIPLE ACERO AL CARBON DE 1/2 * 8,NIPLE -138,Medidas/modelos diferentes
96.7,NIPLE ACERO AL CARBON DE 1/2 * 6,NIPLE -139,NIPLE ACERO AL CARBON DE 1/2 * 8,NIPLE -138,Medidas/modelos diferentes
96.7,NIPLE ACERO AL CARBON DE 3/4 * 10,NIPLE -131,"NIPLE ACERO AL CARBON DE 3"" * 10",NIPLE -092,Medidas/modelos diferentes
96.7,NIPLE ACERO AL CARBON DE 3/4 * 10,NIPLE -131,"NIPLE ACERO AL CARBON DE 4"" * 10",NIPLE -086,Medidas/modelos diferentes
96.7,NIPLE ACERO AL CARBON DE 3/4 * 4,NIPLE -135,NIPLE ACERO AL CARBON DE 3/4 * 5,NIPLE -134,Medidas/modelos diferentes
96.7,NIPLE ACERO AL CARBON DE 3/4 * 4,NIPLE -135,NIPLE ACERO AL CARBON DE 3/4 * 6,NIPLE -133,Medidas/modelos diferentes
96.7,NIPLE ACERO AL CARBON DE 3/4 * 4,NIPLE -135,NIPLE ACERO AL CARBON DE 3/4 *8,NIPLE -132,Medidas/modelos diferentes
96.7,NIPLE ACERO AL CARBON DE 3/4 * 5,NIPLE -134,NIPLE ACERO AL CARBON DE 3/4 * 6,NIPLE -133,Medidas/modelos diferentes
96.7,NIPLE ACERO AL CARBON DE 3/4 * 5,NIPLE -134,NIPLE ACERO AL CARBON DE 3/4 *8,NIPLE -132,Medidas/modelos diferentes
96.7,NIPLE ACERO AL CARBON DE 3/4 * 6,NIPLE -133,NIPLE ACERO AL CARBON DE 3/4 *8,NIPLE -132,Medidas/modelos diferentes
96.7,"TEE HEMBRA ACERO NEGRO DE 1 1/2""",TEE HE-158,"TEE HEMBRA ACERO NEGRO DE 1/2""",TEE HE-161,Medidas/modelos diferentes
96.7,"TEE HEMBRA ACERO NEGRO DE 1/2""",TEE HE-161,"TEE HEMBRA ACERO NEGRO DE 2 1/2""",TEE HE-156,Medidas/modelos diferentes
96.7,"TEE HEMBRA GALVANIZADA DE 1 1/2""",TEE HE-166,"TEE HEMBRA GALVANIZADA DE 1/2""",TEE HE-169,Medidas/modelos diferentes
96.7,"TEE HEMBRA GALVANIZADA DE 1/2""",TEE HE-169,"TEE HEMBRA GALVANIZADA DE 2 1/2 """,TEE HE-164,Medidas/modelos diferentes
96.7,"TEE SOLDABLE NEGRA CED 30 DE 1""",TEE SO-055,"TEE SOLDABLE NEGRA CED 30 DE 2 """,TEE SO-053,Medidas/modelos diferentes
96.7,"TEE SOLDABLE NEGRA CED 30 DE 1""",TEE SO-055,"TEE SOLDABLE NEGRA CED 30 DE 4""",TEE SO-051,Medidas/modelos diferentes
96.7,"TEE SOLDABLE NEGRA CED 30 DE 1""",TEE SO-055,"TEE SOLDABLE NEGRA CED 40 DE 1""",TEE SO-048,Medidas/modelos diferentes
96.7,"TEE SOLDABLE NEGRA CED 30 DE 2 """,TEE SO-053,"TEE SOLDABLE NEGRA CED 30 DE 4""",TEE SO-051,Medidas/modelos diferentes
96.7,"TEE SOLDABLE NEGRA CED 30 DE 2 """,TEE SO-053,"TEE SOLDABLE NEGRA CED 40 DE 2""",TEE SO-046,Medidas/modelos diferentes
96.7,"TEE SOLDABLE NEGRA CED 30 DE 4""",TEE SO-051,"TEE SOLDABLE NEGRA CED 40 DE 4""",TEE SO-044,Medidas/modelos diferentes
96.7,"TEE SOLDABLE NEGRA CED 40 DE 1""",TEE SO-048,"TEE SOLDABLE NEGRA CED 40 DE 2""",TEE SO-046,Medidas/modelos diferentes
96.7,"TEE SOLDABLE NEGRA CED 40 DE 1""",TEE SO-048,"TEE SOLDABLE NEGRA CED 40 DE 3""",TEE SO-045,Medidas/modelos diferentes
96.7,"TEE SOLDABLE NEGRA CED 40 DE 1""",TEE SO-048,"TEE SOLDABLE NEGRA CED 40 DE 4""",TEE SO-044,Medidas/modelos diferentes
96.7,"TEE SOLDABLE NEGRA CED 40 DE 2""",TEE SO-046,"TEE SOLDABLE NEGRA CED 40 DE 3""",TEE SO-045,Medidas/modelos diferentes
96.7,"TEE SOLDABLE NEGRA CED 40 DE 2""",TEE SO-046,"TEE SOLDABLE NEGRA CED 40 DE 4""",TEE SO-044,Medidas/modelos diferentes
96.7,"TEE SOLDABLE NEGRA CED 40 DE 3""",TEE SO-045,"TEE SOLDABLE NEGRA CED 40 DE 4""",TEE SO-044,Medidas/modelos diferentes
96.7,TORNILLO DE 3/8*2NEGRO GRADO 5,TORNI-032,TORNILLO DE 3/8*5NEGRO GRADO 5,TORNI-038,Medidas/modelos diferentes
96.6,"CODO ROSCADO ACERO NEGRO 45° * 1""",CODO -069,"CODO ROSCADO ACERO NEGRO 45° * 2""",CODO -067,Medidas/modelos diferentes
